CODIGO,NOMBRE PRODUCTO,DESCRIPCION,OBSERVACIONES,CATEGORIA,SUBCATEGORIA,COLOR,UNIDAD DE VENTA
ZAP-01,BOTIN BEIGE,"BOTIN BEIGE SUELA MD+ HULE, PUNTA DE ACERO, ANTIPINCHAZOS, DIELECTRICOS  NO RESISTENTES AL AGUA.","TALLAS: ZAP-01-34 (TALLA 34), ZAP-01-35 (TALLA 35), ZAP-01-36 (TALLA 36), ZAP-01-37 (TALLA 37), ZAP-01-38 (TALLA 38), ZAP-01-39 (TALLA 39), ZAP-01-40 (TALLA 40), ZAP-01-41 (TALLA 41), ZAP-01-42 (TALLA 42), ZAP-01-43 (TALLA 43), ZAP-01-44 (TALLA 44), ZAP-01-45 (TALLA 45), ZAP-01-46 (TALLA 46) Y ZAP-01-47 (TALLA 47)",ZAPATOS DE SEGURIDAD,ZAPATOS DE SEGURIDAD,BEIGE,PAR
ZAP-02,BOTIN BEIGE,"BOTIN NEGRA SUELA MD+ HULE, PUNTA DE ACERO, ANTIPINCHAZOS, DIELECTRICOS  NO RESISTENTES AL AGUA.","TALLAS: ZAP-02-34 (TALLA 34), ZAP-02-35 (TALLA 35), ZAP-02-36 (TALLA 36), ZAP-02-37 (TALLA 37), ZAP-02-38 (TALLA 38), ZAP-02-39 (TALLA 39), ZAP-02-40 (TALLA 40), ZAP-02-41 (TALLA 41), ZAP-02-42 (TALLA 42), ZAP-02-43 (TALLA 43), ZAP-02-44 (TALLA 44), ZAP-02-45 (TALLA 45), ZAP-02-46 (TALLA 46) Y ZAP-02-47 (TALLA 47)",ZAPATOS DE SEGURIDAD,ZAPATOS DE SEGURIDAD,NEGRO,PAR
ZAP-03,BOTA BEIGE,BOTA ALTA BEIGE SUELA MD+ HULE/ CON ZIPPER/ SUELA ANTIPUNZONES / TOBILLO PLASTICO DIELECTRICOS/ NO RESISTENTES AL AGUA.,"TALLAS: ZAP-03-34 (TALLA 34), ZAP-03-35 (TALLA 35), ZAP-03-36 (TALLA 36), ZAP-03-37 (TALLA 37), ZAP-03-38 (TALLA 38), ZAP-03-39 (TALLA 39), ZAP-03-40 (TALLA 40), ZAP-03-41 (TALLA 41), ZAP-03-42 (TALLA 42), ZAP-03-43 (TALLA 43), ZAP-03-44 (TALLA 44), ZAP-03-45 (TALLA 45), ZAP-03-46 (TALLA 46) Y ZAP-03-47 (TALLA 47)",ZAPATOS DE SEGURIDAD,ZAPATOS DE SEGURIDAD,BEIGE,PAR
ZAP-04,BOTA NEGRA,BOTA ALTA NEGRA SUELA MD+ HULE/ CON ZIPPER/ SUELA ANTIPUNZONES / TOBILLO PLASTICO DIELECTRICOS/ NO RESISTENTES AL AGUA.,"TALLAS: ZAP-03-34 (TALLA 34), ZAP-03-35 (TALLA 35), ZAP-03-36 (TALLA 36), ZAP-04-37 (TALLA 37), ZAP-04-38 (TALLA 38), ZAP-04-39 (TALLA 39), ZAP-04-40 (TALLA 40), ZAP-04-41 (TALLA 41), ZAP-04-42 (TALLA 42), ZAP-04-43 (TALLA 43), ZAP-04-44 (TALLA 44), ZAP-04-45 (TALLA 45), ZAP-04-46 (TALLA 46) Y ZAP-04-47 (TALLA 47)",ZAPATOS DE SEGURIDAD,ZAPATOS DE SEGURIDAD,NEGRO,PAR
LON-01,LONCHERA,"LONCHERA TELA OXFORD 600D, INTERIOR 5MM ESPUMA PE C/CORREA Y AGARRADERA, MANTIENE CALOR O FRIO/ CON LOGO ASO K-9 COLORES ESTRELLA",,PROMOCIONALES,LONCHERA,COLORES ESTRELLA,PIEZA
NEC-01,NECESER,NECESER- COSMETIQUERA DE OXFORD Y POLYESTER/ MEDIDAS: 33CM X 18CM X 12CM/ CON LOGO CORPORACION,,PROMOCIONALES,NECESER,NEUTRO,PIEZA
BUL-04,BULTO,BULTO MATERIAL: FILME CUERINA/ CAPACIDAD: 20L/ MEDIDAS: 31.5CM X 15CM X 42.5XM/ PESO: 0.672KG/ CON LOGO CORPORACION,,PROMOCIONALES,BULTO,,PIEZA
BUL-05,BULTO TIRAS,BULTO TIRAS MATERIAL: FILME POLYESTER 900D/ PESO: 440-450G/ MEDIDAS: 34CM X 20CM X 25CM/ PESO: 0.45KG/ CON LOGO CORPORTACION,,PROMOCIONALES,BULTO,,PIEZA
NEC-03,NECESER - COSMETIQUERA,NECESER- COSMETIQUERA DE TELA CATIONICO PVC 300D/ MEDIDAS: 18.5CM X 12.5CM X 3.5CM/ PESO: 0.096KG,,PROMOCIONALES,NECESER,,PIEZA
BUL-06,BULTO CUADRADO,BULTO POLYESTER/CAPACIDAD: 17L/ MEDIDAS: 28CM X 16CM X 38CM/ PESO: 0.373KG,,PROMOCIONALES,BULTO,,PIEZA
